alignment_success,coherence,distinct_1,distinct_2,distinct_3,eos_generated,eos_metadata_mismatch,failure_status,generation_length,latency_per_token,legacy_method,method,method_family,perplexity,ppl_degradation,ppl_model_family,ppl_protocol,prompt_id,prompt_sentiment_class,repeated_bigram_rate,repeated_trigram_rate,repeated_unigram_rate,seed,source,source_eos_generated,target_probability,terminated_on_eos,total_latency
0,0.6470588235294118,0.6296296296296297,0.8846153846153846,0.92,False,False,success,32,0.03828667803099961,base_lm,v1_base,v1_rad_scalar_reward,12.767145156860352,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000050,negative,0.11538461538461542,0.07999999999999996,0.37037037037037035,1,read_only_v1_output,False,0.0006205337704159319,False,1.2251736969919875
1,0.5357142857142857,0.9032258064516129,1.0,1.0,False,False,success,32,0.03598454297025455,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,23.8987979888916,0.8718983527848213,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000050,negative,0.0,0.0,0.09677419354838712,1,read_only_v1_output,False,0.9987848401069641,False,1.1515053750481457
0,0.6875,0.5925925925925926,0.7692307692307693,0.8,False,False,success,32,0.027149807716341456,best_heuristic,v1_heuristic,v1_rad_scalar_reward,12.206311225891113,-0.04392790432619758,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000050,negative,0.23076923076923073,0.19999999999999996,0.40740740740740744,1,read_only_v1_output,False,0.0005268231616355479,False,0.8687938469229266
0,0.5384615384615384,0.6190476190476191,0.75,0.7894736842105263,False,False,success,32,0.03263767112366622,learned_router,v1_router,v1_rad_scalar_reward,10.218693733215332,-0.19961012366775072,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000050,negative,0.25,0.21052631578947367,0.38095238095238093,1,read_only_v1_output,False,0.0012273716274648905,False,1.0444054759573191
0,0.5909090909090909,0.8148148148148148,1.0,1.0,False,False,success,32,0.0338770748458046,base_lm,v1_base,v1_rad_scalar_reward,8.930327415466309,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000051,negative,0.0,0.0,0.18518518518518523,1,read_only_v1_output,False,0.0059530180878937244,False,1.0840663950657472
1,0.5952380952380952,0.8076923076923077,1.0,1.0,False,False,success,32,0.03748144596829661,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,10.941666603088379,0.22522569375660967,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000051,negative,0.0,0.0,0.1923076923076923,1,read_only_v1_output,False,0.9987980127334595,False,1.1994062709854916
0,0.6176470588235294,0.68,0.9166666666666666,1.0,False,False,success,32,0.019405774561164435,best_heuristic,v1_heuristic,v1_rad_scalar_reward,7.5642828941345215,-0.15296690230707038,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000051,negative,0.08333333333333337,0.0,0.31999999999999995,1,read_only_v1_output,False,0.006226034834980965,False,0.6209847859572619
0,0.631578947368421,0.7916666666666666,0.9565217391304348,1.0,False,False,success,32,0.038952501345193014,learned_router,v1_router,v1_rad_scalar_reward,10.481474876403809,0.17369435506374487,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000051,negative,0.04347826086956519,0.0,0.20833333333333337,1,read_only_v1_output,False,0.001370048034004867,False,1.2464800430461764
1,0.5294117647058824,0.6538461538461539,0.84,0.9166666666666666,False,False,success,32,0.032611427657684544,base_lm,v1_base,v1_rad_scalar_reward,6.860506534576416,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000052,negative,0.16000000000000003,0.08333333333333337,0.34615384615384615,1,read_only_v1_output,False,0.9923402070999146,False,1.0435656850459054
1,0.5555555555555556,0.6923076923076923,0.84,0.9166666666666666,False,False,success,32,0.02310345328442054,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,10.481474876403809,0.5277989786290553,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000052,negative,0.16000000000000003,0.08333333333333337,0.3076923076923077,1,read_only_v1_output,False,0.9983593821525574,False,0.7393105051014572
0,0.5416666666666666,0.9230769230769231,1.0,1.0,False,False,success,32,0.04044194946618518,best_heuristic,v1_heuristic,v1_rad_scalar_reward,6.914314270019531,0.007843114086682734,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000052,negative,0.0,0.0,0.07692307692307687,1,read_only_v1_output,False,0.005605712998658419,False,1.2941423829179257
1,0.5227272727272727,0.8148148148148148,0.9615384615384616,1.0,False,False,success,32,0.017567083403264405,learned_router,v1_router,v1_rad_scalar_reward,8.638681411743164,0.25919002747171593,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000052,negative,0.038461538461538436,0.0,0.18518518518518523,1,read_only_v1_output,False,0.9987921118736267,False,0.562146668904461
0,0.4125,0.45454545454545453,0.7,0.7777777777777778,False,False,success,32,0.03632996268788702,base_lm,v1_base,v1_rad_scalar_reward,3.12872314453125,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000053,negative,0.30000000000000004,0.2222222222222222,0.5454545454545454,1,read_only_v1_output,False,0.001972577068954706,False,1.1625588060123846
0,0.0,0.0,0.0,0.0,False,False,success,32,0.021770219998870743,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,2.7315871715545654,-0.12693228343672577,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000053,negative,0.0,0.0,0.0,1,read_only_v1_output,False,0.27956220507621765,False,0.6966470399638638
0,0.0,0.0,0.0,0.0,False,False,success,32,0.019497745375701925,best_heuristic,v1_heuristic,v1_rad_scalar_reward,2.7315871715545654,-0.12693228343672577,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000053,negative,0.0,0.0,0.0,1,read_only_v1_output,False,0.27956220507621765,False,0.6239278520224616
0,0.5089285714285714,0.6363636363636364,1.0,1.0,False,False,success,32,0.024153329439286608,learned_router,v1_router,v1_rad_scalar_reward,2.832091808319092,-0.09480907146758745,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000053,negative,0.0,0.0,0.36363636363636365,1,read_only_v1_output,False,0.01387452520430088,False,0.7729065420571715
1,0.5526315789473684,0.7037037037037037,0.9615384615384616,1.0,False,False,success,32,0.01744112852975377,base_lm,v1_base,v1_rad_scalar_reward,6.688506603240967,0.0,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000054,negative,0.038461538461538436,0.0,0.2962962962962963,1,read_only_v1_output,False,0.9967325925827026,False,0.5581161129521206
0,0.375,0.5454545454545454,0.6,0.6666666666666666,False,False,success,32,0.03501358540597721,best_fixed_beta,v1_fixed,v1_rad_scalar_reward,5.682007789611816,-0.15048184495197234,v1_gpt2_large_full_sequence,legacy_prompt_plus_generation_full_sequence,rad:test:negative:00000054,negative,0.4,0.33333333333333337,0.4545454545454546,1,read_only_v1_output,False,0.02637522481381893,False,1.1204347329912707
